list_name,label,name,district,upazila,union_name,ward
village_list,Modho Ballabpur (Karajatola),789533111,78,7895,789533,7895331
village_list, Dokhin Titkata,789531918,78,7895,789531,7895319
village_list,Bailabunia,789734515,78,7897,789734,7897345
village_list,Maj Neta,789783721,78,7897,789783,7897837
village_list,Ghoserhat,789513806,78,7895,789513,7895138
village_list, Posurbunia,789531519,78,7895,789531,7895315
village_list, Badura,789510925,78,7895,789510,7895109
village_list,Uttar-Maddha Haridebpur,785769823,78,7857,785769,7857698
village_list,Char Ganga,789744823,78,7897,789744,7897448
village_list,Khalifar Char,789734206,78,7897,789734,7897342
village_list,Pachakoralia,789510206,78,7895,789510,7895102
village_list,Uttar Gulishkhali,040963101,04,0409,040963,0409631
village_list,Daskhin - Purbo Chiknikandi,785750111,78,7857,785750,7857501
village_list,Panchim  Barobaghai,789531206,78,7895,789531,7895312
village_list,Kesobpur ,789527313,78,7895,789527,7895273
village_list,Purbo Charjainkathi,789527626,78,7895,789527,7895276
village_list,Khorda Moderbunia,789567703,78,7895,789567,7895677
village_list,Asrayan Prokalpo,785778517,78,7857,785778,7857785
village_list,Uttat Gazalia,785769214,78,7857,785769,7857692
village_list,Charkanda,789574926,78,7895,789574,7895749
village_list,Dokhin Porchim baghai,789531412,78,7895,789531,7895314
village_list,Modho Sonakhali,040923616,04,0409,040923,0409236
village_list,Pirtala ,789527120,78,7895,789527,7895271
village_list,Daskhin-Psachim Bhangra,785711720,78,7857,785711,7857117
village_list,Purbo-Paschim Per Dakua,785755103,78,7857,785755,7857551
village_list,Uttar Boalia,785767814,78,7857,785767,7857678
village_list,Moddho Uttar Char Biswas-4,785737411,78,7857,785737,7857374
village_list,Dakhin Tafalbaria,789574308,78,7895,789574,7895743
village_list,Paschim Dhakkin Char Biswas,785737515,78,7857,785737,7857375
village_list, Choto Auliapur,789510519,78,7895,789510,7895105
village_list,Tularam,785778707,78,7857,785778,7857787
village_list,Panchim Atharogachia,040923307,04,0409,040923,0409233
village_list,Kalaraja,785750907,78,7857,785750,7857509
village_list,Modho Bahalgasia,789533609,78,7895,789533,7895336
village_list,Uttar Maragangi,789732618,78,7897,789732,7897326
village_list,Uttar Kalipura,040987619,04,0409,040987,0409876
village_list,Uttar Balaikathi,789510714,78,7895,789510,7895107
village_list,Paschim Dhakkin Char Biswas,785737618,78,7857,785737,7857376
village_list,Uttar Sonakhali,040923617,04,0409,040923,0409236
village_list,Uttar Banshbunia,785711514,78,7857,785711,7857115
village_list,Algi ,040923411,04,0409,040923,0409234
village_list,Modda Chalitabunia,789732204,78,7897,789732,7897322
village_list,Modho Charjainkathi,789527625,78,7895,789527,7895276
village_list,Purbo Jainkathi ,789527706,78,7895,789527,7895277
village_list,Pokhiya,789531308,78,7895,789531,7895313
village_list,Saichabunia,789531411,78,7895,789531,7895314
village_list,Uttar Sutabaria,785750305,78,7857,785750,7857503
village_list,Passim Baherchar,789783103,78,7897,789783,7897831
village_list,Dokhin Bahalgasia (tengatola),789533607,78,7895,789533,7895336
village_list,Uttar Barunbaria,789574206,78,7895,789574,7895742
village_list,Daskin-Paschim kachua,785750626,78,7857,785750,7857506
village_list,Ramananda Biskani Bouria,785711823,78,7857,785711,7857118
village_list,Purbo-Uttar Geramarddan,785778413,78,7857,785778,7857784
village_list,Mathivanga,789513420,78,7895,789513,7895134
village_list, Tafalbaria Naptar Howla,785711822,78,7857,785711,7857118
village_list,ModhoGuabaria,789574103,78,7895,789574,7895741
village_list,Paschim Choto Sheba,785739616,78,7857,785739,7857396
village_list,Paschim Choto Kazol,785739412,78,7857,785739,7857394
village_list,Purbo Coto Bighai,789513804,78,7895,789513,7895138
village_list,Porbo Gainkhali,789744412,78,7897,789744,7897444
village_list,Vagirabat,789527212,78,7895,789527,7895272
village_list,Porbo Neta,789783822,78,7897,789783,7897838
village_list, Uttar Char Biswas-4,785737410,78,7857,785737,7857374
village_list,Gazipur Bazar,040923925,04,0409,040923,0409239
village_list,Chor Jainkathi,789527502,78,7895,789527,7895275
village_list,Porbo Kawkhali,789744204,78,7897,789744,7897442
village_list,Dokhin baghai,789531410,78,7895,789531,7895314
village_list,Pankhali,785750813,78,7857,785750,7857508
village_list,Char Mohiuddin,785737824,78,7857,785737,7857378
village_list,Dakshin-Purbo Char Chandrailer,785769402,78,7857,785769,7857694
village_list,Purbo Geramarddan,785778414,78,7857,785778,7857784
village_list,Purbo Bahir Gazalia,785769317,78,7857,785769,7857693
village_list,Uttar Tafalbaria,789574307,78,7895,789574,7895743
village_list,Kawkaitabak,785778201,78,7857,785778,7857782
village_list,Dakkhin Paschim Char Montaz,789734618,78,7897,789734,7897346
village_list,Barobaghai,789531204,78,7895,789531,7895312
village_list,Uttar Gupterhaola,785778925,78,7857,785778,7857789
village_list,Nijhowla,789783309,78,7897,789783,7897833
village_list,Paschim Uttar Char Biswas-1,785737103,78,7857,785737,7857371
village_list,Uttar Angulkata,040963404,04,0409,040963,0409634
village_list,Paschim Krishnapur,785755825,78,7857,785755,7857558
village_list,Purbo Baherchar,789783101,78,7897,789783,7897831
village_list,Purbo Uttar Char Biswas-1,785737101,78,7857,785737,7857371
village_list,Paschim Baro Sheba,785739720,78,7857,785739,7857397
village_list,Senerhowla,785778709,78,7857,785778,7857787
village_list,Bazarkhali,040963608,04,0409,040963,0409636
village_list,Purbo Pankhali,785750716,78,7857,785750,7857507
village_list,Debpur,040963713,04,0409,040963,0409637
village_list,Corkhali,040987506,04,0409,040987,0409875
village_list,Dokhin Birajala,789567426,78,7895,789567,7895674
village_list,Maddha Pankhali,785750717,78,7857,785750,7857507
village_list,Panchim Auliapur,789510204,78,7895,789510,7895102
village_list,Dokhin kawabunia,040987112,04,0409,040987,0409871
village_list,Purbo Ratneshwar,785778305,78,7857,785778,7857783
village_list,Char Montaz,789734410,78,7897,789734,7897344
village_list,Londa,785767918,78,7857,785767,7857679
village_list,Moddho Paschim Char Montaz,789734617,78,7897,789734,7897346
village_list,Gangipara,789783514,78,7897,789783,7897835
village_list, Haridebpur,785769925,78,7857,785769,7857699
village_list,Purbo Auliapur,789510410,78,7895,789510,7895104
village_list,Paschim Ratandi,785767304,78,7857,785767,7857673
village_list,Paschim Bahir Gazalia,785769318,78,7857,785769,7857693
village_list,Purbo Sakharia,040923206,04,0409,040923,0409232
village_list,Dakshin Boalia,785767917,78,7857,785767,7857679
village_list,Chotabaisdia,789744101,78,7897,789744,7897441
village_list,Maddah Bibirhaola,785778927,78,7857,785778,7857789
village_list,Passim Kazirhowla,789783206,78,7897,789783,7897832
village_list,Uttar Shehakathi,789527817,78,7895,789527,7895278
village_list,Pokkhia,789567702,78,7895,789567,7895677
village_list,Paschim  kalikapur,785767119,78,7857,785767,7857671
village_list,Talbaria,789527119,78,7895,789527,7895271
village_list,Purba Coto Auliapur,789510521,78,7895,789510,7895105
village_list,Pashim Char Unda,789734925,78,7897,789734,7897349
village_list, Uttar Char Biswas-3,785737307,78,7857,785737,7857373
village_list,Purbo krishnagar ,040987908,04,0409,040987,0409879
village_list,Uttar Pakshia,785767627,78,7857,785767,7857676
village_list,Purbo Char Laxmi,789734103,78,7897,789734,7897341
village_list,Dhakkin Baro Char Kazol,785739102,78,7857,785739,7857391
village_list,Daskin- Purbo Ichiadi,785769609,78,7857,785769,7857696
village_list,Daskhin bazer kortkhali,785750522,78,7857,785750,7857505
village_list,Kasmir,789527315,78,7895,789527,7895273
village_list,Moddho Char Montaz,789734514,78,7897,789734,7897345
village_list,Uttar Panpatty,785778110,78,7857,785778,7857781
village_list,Uttor Kazirhowla,789783204,78,7897,789783,7897832
village_list,Uttar Coto Auliapur,789510520,78,7895,789510,7895105
village_list,Uttoripara,789783515,78,7897,789783,7897835
village_list,Rasulbaria,789783926,78,7897,789783,7897839
village_list,Nobogram,789744103,78,7897,789744,7897441
village_list,Dakshin Haridebpur,785769822,78,7857,785769,7857698
village_list,Kalerchar,789732412,78,7897,789732,7897324
village_list,Moddo Chatlakhali,789744925,78,7897,789744,7897449
village_list,Uttar Baro Char Kazol,785739101,78,7857,785739,7857391
village_list,Porchim Hetalia,789567427,78,7895,789567,7895674
village_list,Panchim Krishnagar,040987723,04,0409,040987,0409877
village_list,Porchim Sonakhali,040923823,04,0409,040923,0409238
village_list, Daskhin Kotkhali,785750524,78,7857,785750,7857505
village_list,Modho Sonakhali,040923720,04,0409,040923,0409237
village_list,Satiram,785778203,78,7857,785778,7857782
village_list,Passim Neta,789783720,78,7897,789783,7897837
village_list,Borunbaria ,789574101,78,7895,789574,7895741
village_list,Purbo Barobaghai,789531101,78,7895,789531,7895311
village_list,Bauria ,785711824,78,7857,785711,7857118
village_list,Purbo-Daskhin Pankhali,785750815,78,7857,785750,7857508
village_list,Modda Pardakua,785755101,78,7857,785755,7857551
village_list,Dokhin Bazarghona,789574822,78,7895,789574,7895748
village_list,Nijamol Purbo Purba Atkhali,785755722,78,7857,785755,7857557
village_list,Clubghat,040963322,04,0409,040963,0409633
village_list,Chaknikanda Morichbunia,789574410,78,7895,789574,7895744
village_list,Daskhin Dakua,785755512,78,7857,785755,7857555
village_list,Purbo Choto Sheba,785739617,78,7857,785739,7857396
village_list,purbo jainkathi,789527422,78,7895,789527,7895274
village_list,Nayer Char,789734822,78,7897,789734,7897348
village_list,Uttar Char Bestain,789734101,78,7897,789734,7897341
village_list,Uttar purbo Kukua,040987827,04,0409,040987,0409878
village_list,Birajala,789567425,78,7895,789567,7895674
village_list,Moddho Dakkin Baro Char Kazol,785739309,78,7857,785739,7857393
village_list,Purba Badura,789510817,78,7895,789510,7895108
